File,Mode,Encryption Time (s),Decryption Time (s)
small.txt,ECBMode,0.0022091000573709607,0.0006771999760530889
small.txt,CBCMode,0.0017621999722905457,0.0016415000427514315
small.txt,CTRMode,0.0011964000295847654,0.0007120000082068145
small.txt,ManualCBC,0.20256139995763078,0.19669740000972524
medium.txt,ECBMode,0.008890400000382215,0.0046983000356704
medium.txt,CBCMode,0.019007300026714802,0.01847280003130436
medium.txt,CTRMode,0.009626399958506227,0.008549199963454157
medium.txt,ManualCBC,1.959626300027594,2.004140400036704
large.txt,ECBMode,0.03776279999874532,0.04191660002106801
large.txt,CBCMode,0.07789389998652041,0.07781749998684973
large.txt,CTRMode,0.03396029997384176,0.033317499968688935
large.txt,ManualCBC,9.953317000006791,9.929078500019386
